,10,20,30,40,50,60,70,80,90,100,150,250,400,600,800,1000,1500,2000
1,"(0, 0, 1, 10, 0.5929999947547913)","(0, 1, 1, 20, 0.6159999966621399)","(0, 2, 1, 30, 0.628000020980835)","(0, 3, 1, 40, 0.6269999742507935)","(0, 4, 1, 50, 0.5860000252723694)","(0, 5, 1, 60, 0.6179999709129333)","(0, 6, 1, 70, 0.6269999742507935)","(0, 7, 1, 80, 0.621999979019165)","(0, 8, 1, 90, 0.6190000176429749)","(0, 9, 1, 100, 0.6399999856948853)","(0, 10, 1, 150, 0.640999972820282)","(0, 11, 1, 250, 0.6320000290870667)","(0, 12, 1, 400, 0.6800000071525574)","(0, 13, 1, 600, 0.7409999966621399)","(0, 14, 1, 800, 0.7929999828338623)","(0, 15, 1, 1000, 0.8209999799728394)","(0, 16, 1, 1500, 0.8849999904632568)","(0, 17, 1, 2000, 0.9240000247955322)"
5,"(1, 0, 5, 10, 0.6019999980926514)","(1, 1, 5, 20, 0.6159999966621399)","(1, 2, 5, 30, 0.6290000081062317)","(1, 3, 5, 40, 0.6430000066757202)","(1, 4, 5, 50, 0.6639999747276306)","(1, 5, 5, 60, 0.652999997138977)","(1, 6, 5, 70, 0.6650000214576721)","(1, 7, 5, 80, 0.6930000185966492)","(1, 8, 5, 90, 0.6819999814033508)","(1, 9, 5, 100, 0.7250000238418579)","(1, 10, 5, 150, 0.746999979019165)","(1, 11, 5, 250, 0.8259999752044678)","(1, 12, 5, 400, 0.8600000143051147)","(1, 13, 5, 600, 0.9279999732971191)","(1, 14, 5, 800, 0.9399999976158142)","(1, 15, 5, 1000, 0.949999988079071)","(1, 16, 5, 1500, 0.9509999752044678)","(1, 17, 5, 2000, 0.9710000157356262)"
10,"(2, 0, 10, 10, 0.6159999966621399)","(2, 1, 10, 20, 0.6060000061988831)","(2, 2, 10, 30, 0.6430000066757202)","(2, 3, 10, 40, 0.6349999904632568)","(2, 4, 10, 50, 0.6669999957084656)","(2, 5, 10, 60, 0.6909999847412109)","(2, 6, 10, 70, 0.675000011920929)","(2, 7, 10, 80, 0.7269999980926514)","(2, 8, 10, 90, 0.7549999952316284)","(2, 9, 10, 100, 0.7670000195503235)","(2, 10, 10, 150, 0.8320000171661377)","(2, 11, 10, 250, 0.8659999966621399)","(2, 12, 10, 400, 0.9359999895095825)","(2, 13, 10, 600, 0.9570000171661377)","(2, 14, 10, 800, 0.968999981880188)","(2, 15, 10, 1000, 0.9599999785423279)","(2, 16, 10, 1500, 0.9860000014305115)","(2, 17, 10, 2000, 0.9950000047683716)"
20,"(3, 0, 20, 10, 0.6259999871253967)","(3, 1, 20, 20, 0.6629999876022339)","(3, 2, 20, 30, 0.6669999957084656)","(3, 3, 20, 40, 0.6970000267028809)","(3, 4, 20, 50, 0.7429999709129333)","(3, 5, 20, 60, 0.7509999871253967)","(3, 6, 20, 70, 0.7900000214576721)","(3, 7, 20, 80, 0.8090000152587891)","(3, 8, 20, 90, 0.8190000057220459)","(3, 9, 20, 100, 0.8289999961853027)","(3, 10, 20, 150, 0.8560000061988831)","(3, 11, 20, 250, 0.9100000262260437)","(3, 12, 20, 400, 0.9549999833106995)","(3, 13, 20, 600, 0.9789999723434448)","(3, 14, 20, 800, 0.984000027179718)","(3, 15, 20, 1000, 0.9890000224113464)","(3, 16, 20, 1500, 0.0)","(3, 17, 20, 2000, 0.0)"
30,"(4, 0, 30, 10, 0.6460000276565552)","(4, 1, 30, 20, 0.6800000071525574)","(4, 2, 30, 30, 0.7300000190734863)","(4, 3, 30, 40, 0.7559999823570251)","(4, 4, 30, 50, 0.7919999957084656)","(4, 5, 30, 60, 0.7950000166893005)","(4, 6, 30, 70, 0.8169999718666077)","(4, 7, 30, 80, 0.8180000185966492)","(4, 8, 30, 90, 0.8519999980926514)","(4, 9, 30, 100, 0.871999979019165)","(4, 10, 30, 150, 0.9240000247955322)","(4, 11, 30, 250, 0.9369999766349792)","(4, 12, 30, 400, 0.9610000252723694)","(4, 13, 30, 600, 0.9760000109672546)","(4, 14, 30, 800, 0.9940000176429749)","(4, 15, 30, 1000, 0.0)","(4, 16, 30, 1500, 0.0)","(4, 17, 30, 2000, 0.0)"
45,"(5, 0, 45, 10, 0.6499999761581421)","(5, 1, 45, 20, 0.6880000233650208)","(5, 2, 45, 30, 0.7609999775886536)","(5, 3, 45, 40, 0.7820000052452087)","(5, 4, 45, 50, 0.7950000166893005)","(5, 5, 45, 60, 0.8199999928474426)","(5, 6, 45, 70, 0.8489999771118164)","(5, 7, 45, 80, 0.8769999742507935)","(5, 8, 45, 90, 0.8420000076293945)","(5, 9, 45, 100, 0.8529999852180481)","(5, 10, 45, 150, 0.9330000281333923)","(5, 11, 45, 250, 0.9509999752044678)","(5, 12, 45, 400, 0.9779999852180481)","(5, 13, 45, 600, 0.0)","(5, 14, 45, 800, 0.0)","(5, 15, 45, 1000, 0.0)","(5, 16, 45, 1500, 0.0)","(5, 17, 45, 2000, 0.0)"
60,"(6, 0, 60, 10, 0.652999997138977)","(6, 1, 60, 20, 0.7110000252723694)","(6, 2, 60, 30, 0.7829999923706055)","(6, 3, 60, 40, 0.800000011920929)","(6, 4, 60, 50, 0.8339999914169312)","(6, 5, 60, 60, 0.843999981880188)","(6, 6, 60, 70, 0.8629999756813049)","(6, 7, 60, 80, 0.8709999918937683)","(6, 8, 60, 90, 0.890999972820282)","(6, 9, 60, 100, 0.9089999794960022)","(6, 10, 60, 150, 0.9449999928474426)","(6, 11, 60, 250, 0.9610000252723694)","(6, 12, 60, 400, 0.9860000014305115)","(6, 13, 60, 600, 0.0)","(6, 14, 60, 800, 0.0)","(6, 15, 60, 1000, 0.0)","(6, 16, 60, 1500, 0.0)","(6, 17, 60, 2000, 0.0)"
120,"(7, 0, 120, 10, 0.6830000281333923)","(7, 1, 120, 20, 0.7710000276565552)","(7, 2, 120, 30, 0.7919999957084656)","(7, 3, 120, 40, 0.8460000157356262)","(7, 4, 120, 50, 0.878000020980835)","(7, 5, 120, 60, 0.8859999775886536)","(7, 6, 120, 70, 0.8849999904632568)","(7, 7, 120, 80, 0.9229999780654907)","(7, 8, 120, 90, 0.9240000247955322)","(7, 9, 120, 100, 0.9340000152587891)","(7, 10, 120, 150, 0.9480000138282776)","(7, 11, 120, 250, 0.0)","(7, 12, 120, 400, 0.0)","(7, 13, 120, 600, 0.0)","(7, 14, 120, 800, 0.0)","(7, 15, 120, 1000, 0.0)","(7, 16, 120, 1500, 0.0)","(7, 17, 120, 2000, 0.0)"
180,"(8, 0, 180, 10, 0.7080000042915344)","(8, 1, 180, 20, 0.8019999861717224)","(8, 2, 180, 30, 0.8410000205039978)","(8, 3, 180, 40, 0.8339999914169312)","(8, 4, 180, 50, 0.8949999809265137)","(8, 5, 180, 60, 0.8989999890327454)","(8, 6, 180, 70, 0.9089999794960022)","(8, 7, 180, 80, 0.9240000247955322)","(8, 8, 180, 90, 0.9269999861717224)","(8, 9, 180, 100, 0.9449999928474426)","(8, 10, 180, 150, 0.0)","(8, 11, 180, 250, 0.0)","(8, 12, 180, 400, 0.0)","(8, 13, 180, 600, 0.0)","(8, 14, 180, 800, 0.0)","(8, 15, 180, 1000, 0.0)","(8, 16, 180, 1500, 0.0)","(8, 17, 180, 2000, 0.0)"
240,"(9, 0, 240, 10, 0.7329999804496765)","(9, 1, 240, 20, 0.7910000085830688)","(9, 2, 240, 30, 0.8610000014305115)","(9, 3, 240, 40, 0.8920000195503235)","(9, 4, 240, 50, 0.9120000004768372)","(9, 5, 240, 60, 0.9259999990463257)","(9, 6, 240, 70, 0.9200000166893005)","(9, 7, 240, 80, 0.9480000138282776)","(9, 8, 240, 90, 0.9639999866485596)","(9, 9, 240, 100, 0.9629999995231628)","(9, 10, 240, 150, 0.0)","(9, 11, 240, 250, 0.0)","(9, 12, 240, 400, 0.0)","(9, 13, 240, 600, 0.0)","(9, 14, 240, 800, 0.0)","(9, 15, 240, 1000, 0.0)","(9, 16, 240, 1500, 0.0)","(9, 17, 240, 2000, 0.0)"
