,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
0.01,"(0, 0, '0.01', '0.01', 0.628000020980835)","(0, 1, '0.01', '0.020000000000000004', 0.9079999923706055)","(0, 2, '0.01', '0.030000000000000006', 0.9800000190734863)","(0, 3, '0.01', '0.04000000000000001', 0.9980000257492065)","(0, 4, '0.01', '0.05000000000000001', 1.0)","(0, 5, '0.01', '0.06000000000000001', 1.0)","(0, 6, '0.01', '0.07', 1.0)","(0, 7, '0.01', '0.08', 1.0)","(0, 8, '0.01', '0.09000000000000001', 1.0)","(0, 9, '0.01', '0.1', 1.0)"
0.020000000000000004,"(1, 0, '0.020000000000000004', '0.01', 0.6620000004768372)","(1, 1, '0.020000000000000004', '0.020000000000000004', 0.746999979019165)","(1, 2, '0.020000000000000004', '0.030000000000000006', 0.9179999828338623)","(1, 3, '0.020000000000000004', '0.04000000000000001', 0.9789999723434448)","(1, 4, '0.020000000000000004', '0.05000000000000001', 0.9940000176429749)","(1, 5, '0.020000000000000004', '0.06000000000000001', 0.996999979019165)","(1, 6, '0.020000000000000004', '0.07', 1.0)","(1, 7, '0.020000000000000004', '0.08', 1.0)","(1, 8, '0.020000000000000004', '0.09000000000000001', 1.0)","(1, 9, '0.020000000000000004', '0.1', 0.9990000128746033)"
0.030000000000000006,"(2, 0, '0.030000000000000006', '0.01', 0.8209999799728394)","(2, 1, '0.030000000000000006', '0.020000000000000004', 0.5)","(2, 2, '0.030000000000000006', '0.030000000000000006', 0.7639999985694885)","(2, 3, '0.030000000000000006', '0.04000000000000001', 0.9279999732971191)","(2, 4, '0.030000000000000006', '0.05000000000000001', 0.9739999771118164)","(2, 5, '0.030000000000000006', '0.06000000000000001', 0.9940000176429749)","(2, 6, '0.030000000000000006', '0.07', 0.9980000257492065)","(2, 7, '0.030000000000000006', '0.08', 0.9990000128746033)","(2, 8, '0.030000000000000006', '0.09000000000000001', 1.0)","(2, 9, '0.030000000000000006', '0.1', 0.9990000128746033)"
0.04000000000000001,"(3, 0, '0.04000000000000001', '0.01', 0.9470000267028809)","(3, 1, '0.04000000000000001', '0.020000000000000004', 0.718999981880188)","(3, 2, '0.04000000000000001', '0.030000000000000006', 0.578000009059906)","(3, 3, '0.04000000000000001', '0.04000000000000001', 0.8299999833106995)","(3, 4, '0.04000000000000001', '0.05000000000000001', 0.9200000166893005)","(3, 5, '0.04000000000000001', '0.06000000000000001', 0.9860000014305115)","(3, 6, '0.04000000000000001', '0.07', 0.9919999837875366)","(3, 7, '0.04000000000000001', '0.08', 0.996999979019165)","(3, 8, '0.04000000000000001', '0.09000000000000001', 1.0)","(3, 9, '0.04000000000000001', '0.1', 1.0)"
0.05000000000000001,"(4, 0, '0.05000000000000001', '0.01', 0.9760000109672546)","(4, 1, '0.05000000000000001', '0.020000000000000004', 0.8629999756813049)","(4, 2, '0.05000000000000001', '0.030000000000000006', 0.5979999899864197)","(4, 3, '0.05000000000000001', '0.04000000000000001', 0.6629999876022339)","(4, 4, '0.05000000000000001', '0.05000000000000001', 0.8389999866485596)","(4, 5, '0.05000000000000001', '0.06000000000000001', 0.9380000233650208)","(4, 6, '0.05000000000000001', '0.07', 0.9760000109672546)","(4, 7, '0.05000000000000001', '0.08', 0.996999979019165)","(4, 8, '0.05000000000000001', '0.09000000000000001', 1.0)","(4, 9, '0.05000000000000001', '0.1', 0.9980000257492065)"
0.06000000000000001,"(5, 0, '0.06000000000000001', '0.01', 0.9940000176429749)","(5, 1, '0.06000000000000001', '0.020000000000000004', 0.925000011920929)","(5, 2, '0.06000000000000001', '0.030000000000000006', 0.7710000276565552)","(5, 3, '0.06000000000000001', '0.04000000000000001', 0.5680000185966492)","(5, 4, '0.06000000000000001', '0.05000000000000001', 0.7210000157356262)","(5, 5, '0.06000000000000001', '0.06000000000000001', 0.8539999723434448)","(5, 6, '0.06000000000000001', '0.07', 0.9340000152587891)","(5, 7, '0.06000000000000001', '0.08', 0.9769999980926514)","(5, 8, '0.06000000000000001', '0.09000000000000001', 0.9990000128746033)","(5, 9, '0.06000000000000001', '0.1', 0.9959999918937683)"
0.07,"(6, 0, '0.07', '0.01', 0.9959999918937683)","(6, 1, '0.07', '0.020000000000000004', 0.9559999704360962)","(6, 2, '0.07', '0.030000000000000006', 0.8870000243186951)","(6, 3, '0.07', '0.04000000000000001', 0.671999990940094)","(6, 4, '0.07', '0.05000000000000001', 0.5950000286102295)","(6, 5, '0.07', '0.06000000000000001', 0.75)","(6, 6, '0.07', '0.07', 0.8999999761581421)","(6, 7, '0.07', '0.08', 0.9440000057220459)","(6, 8, '0.07', '0.09000000000000001', 0.9710000157356262)","(6, 9, '0.07', '0.1', 0.9919999837875366)"
0.08,"(7, 0, '0.08', '0.01', 1.0)","(7, 1, '0.08', '0.020000000000000004', 0.9919999837875366)","(7, 2, '0.08', '0.030000000000000006', 0.9340000152587891)","(7, 3, '0.08', '0.04000000000000001', 0.8040000200271606)","(7, 4, '0.08', '0.05000000000000001', 0.5860000252723694)","(7, 5, '0.08', '0.06000000000000001', 0.6029999852180481)","(7, 6, '0.08', '0.07', 0.7730000019073486)","(7, 7, '0.08', '0.08', 0.8809999823570251)","(7, 8, '0.08', '0.09000000000000001', 0.9559999704360962)","(7, 9, '0.08', '0.1', 0.9760000109672546)"
0.09000000000000001,"(8, 0, '0.09000000000000001', '0.01', 0.9990000128746033)","(8, 1, '0.09000000000000001', '0.020000000000000004', 0.9929999709129333)","(8, 2, '0.09000000000000001', '0.030000000000000006', 0.9679999947547913)","(8, 3, '0.09000000000000001', '0.04000000000000001', 0.8840000033378601)","(8, 4, '0.09000000000000001', '0.05000000000000001', 0.7390000224113464)","(8, 5, '0.09000000000000001', '0.06000000000000001', 0.5669999718666077)","(8, 6, '0.09000000000000001', '0.07', 0.6800000071525574)","(8, 7, '0.09000000000000001', '0.08', 0.8149999976158142)","(8, 8, '0.09000000000000001', '0.09000000000000001', 0.9300000071525574)","(8, 9, '0.09000000000000001', '0.1', 0.9639999866485596)"
0.1,"(9, 0, '0.1', '0.01', 1.0)","(9, 1, '0.1', '0.020000000000000004', 0.996999979019165)","(9, 2, '0.1', '0.030000000000000006', 0.9760000109672546)","(9, 3, '0.1', '0.04000000000000001', 0.9229999780654907)","(9, 4, '0.1', '0.05000000000000001', 0.796999990940094)","(9, 5, '0.1', '0.06000000000000001', 0.6470000147819519)","(9, 6, '0.1', '0.07', 0.5649999976158142)","(9, 7, '0.1', '0.08', 0.7440000176429749)","(9, 8, '0.1', '0.09000000000000001', 0.8709999918937683)","(9, 9, '0.1', '0.1', 0.9169999957084656)"
